date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:25	193/193	---M-Z	200	added ('OK')	text/plain	etag:%22165-6aac078a-9ce732f090851ec1;br%22	https://webtactics.org/robots.txt		(from )
13:18:25	395705/395705	---M-Z	200	added ('OK')	text/html	etag:%22609b9-6aac078a-c36bdf8c6cff534e;br%22	https://webtactics.org/	C:/Web%20Sitelerim/ai%20programs/webtactics.org/index.html	(from )
13:18:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2018%20Sep%202026%2010:18:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Web%20Sitelerim/ai%20programs/www.googletagmanager.com/gtm5445.html	(from https://webtactics.org/)
13:18:26	42212/42212	---M--	200	added ('OK')	image/jpeg	etag:%22a4e4-6aac078a-81310383ade677a3;;;%22	https://webtactics.org/Assets/Social%20Sharing%20image.jpg	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Social%20Sharing%20image.jpg	(from https://webtactics.org/)
13:18:26	81867/81867	---M--	200	added ('OK')	image/png	etag:%2213fcb-6aac078a-24dd176cbf33bd2c;;;%22	https://webtactics.org/Assets/Favicon.png	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Favicon.png	(from https://webtactics.org/)
13:18:27	1272972/1272972	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2009%20Jul%202026%2023:27:00%20GMT	https://unpkg.com/three@0.160.0/build/three.module.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/build/three.module.js	(from https://webtactics.org/)
13:18:27	4651/4651	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2013%20May%202026%2018:46:32%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/postprocessing/EffectComposer.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/postprocessing/EffectComposer.js	(from https://webtactics.org/)
13:18:27	1915/1915	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2005%20Aug%202026%2022:34:44%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/postprocessing/RenderPass.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/postprocessing/RenderPass.js	(from https://webtactics.org/)
13:18:27	12406/12406	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Jun%202026%2003:14:45%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/postprocessing/UnrealBloomPass.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/postprocessing/UnrealBloomPass.js	(from https://webtactics.org/)
13:18:27	1576/1576	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202026%2017:46:03%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/postprocessing/ShaderPass.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/postprocessing/ShaderPass.js	(from https://webtactics.org/)
13:18:28	2231/2231	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20Jun%202026%2002:42:35%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/postprocessing/MaskPass.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/postprocessing/MaskPass.js	(from https://webtactics.org/)
13:18:28	1706/1706	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2010%20Jun%202026%2008:40:52%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/postprocessing/Pass.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/postprocessing/Pass.js	(from https://webtactics.org/)
13:18:28	571/571	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2009%20Jul%202026%2003:51:37%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/shaders/CopyShader.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/shaders/CopyShader.js	(from https://webtactics.org/)
13:18:28	1192/1192	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2016%20Dec%202025%2017:19:14%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/shaders/LuminosityHighPassShader.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/shaders/LuminosityHighPassShader.js	(from https://webtactics.org/)
13:18:29	3735/3735	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2007%20Jun%202026%2011:55:22%20GMT	https://unpkg.com/three@0.160.0/examples/jsm/environments/RoomEnvironment.js	C:/Web%20Sitelerim/ai%20programs/unpkg.com/three@0.160.0/examples/jsm/environments/RoomEnvironment.js	(from https://webtactics.org/)
13:18:29	60410/60410	---M--	200	added ('OK')	image/webp	etag:%22ebfa-6aac078a-add594f03260973f;;;%22	https://webtactics.org/Assets/generated/pricing-hero.webp	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/generated/pricing-hero.webp	(from https://webtactics.org/)
13:18:29	13557/13557	---M-Z	200	added ('OK')	application/x-javascript	etag:%2234f5-6aac078a-3ef1b68ff385b7b1;br%22	https://webtactics.org/Assets/lenis-1.1.18.min.js?v=2026-08-05	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/lenis-1.1.18.min513b.js	(from https://webtactics.org/)
13:18:30	421600/421600	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2018%20Sep%202026%2010:18:30%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Web%20Sitelerim/ai%20programs/connect.facebook.net/en_US/fbevents.js	(from https://webtactics.org/)
13:18:31	9/9	---M-Z	405	error ('Method%20Not%20Allowed')	text/html	date:Fri,%2018%20Sep%202026%2010:18:31%20GMT	https://webtactics.org/api/track.php	C:/Web%20Sitelerim/ai%20programs/webtactics.org/api/track.php	(from https://webtactics.org/)
13:18:31	0/0	---M--	302	error ('Found')	unknown/unknown	date:Fri,%2018%20Sep%202026%2010:18:31%20GMT	https://challenges.cloudflare.com/turnstile/v0/api.js	C:/Web%20Sitelerim/ai%20programs/challenges.cloudflare.com/turnstile/v0/api.11.delayed	(from https://webtactics.org/)
13:18:31	86603/86603	---MCZ	200	added ('OK')	application/javascript	etag:W/%22330e41bb475c-api%22	https://challenges.cloudflare.com/turnstile/v0/g/330e41bb475c/api.js	C:/Web%20Sitelerim/ai%20programs/challenges.cloudflare.com/turnstile/v0/g/330e41bb475c/api.js	(from https://webtactics.org/)
13:18:31	36846/36846	---M-Z	200	added ('OK')	application/x-javascript	etag:%228fee-6aac078a-244ed5fd371ef042;br%22	https://webtactics.org/Assets/wt-phone.js?v=2026-08-25a	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/wt-phoneaaa7.js	(from https://webtactics.org/)
13:18:32	26291/26291	---M-Z	200	added ('OK')	application/x-javascript	etag:%2266b3-6aac078a-e2adda97772bebf9;br%22	https://webtactics.org/Assets/wt-track.js?v=2026-08-25a	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/wt-trackaaa7.js	(from https://webtactics.org/)
13:18:33	44308/44308	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202026%2010:18:33%20GMT	https://webtactics.org/about	C:/Web%20Sitelerim/ai%20programs/webtactics.org/about.html	(from https://webtactics.org/)
13:18:33	1871037/1871037	---M--	200	added ('OK')	audio/mpeg	etag:%221c8cbd-6aac078a-a68bd236142b1e6f;;;%22	https://webtactics.org/Assets/Web%20Tactics%20Audio.mp3	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Web%20Tactics%20Audio.mp3	(from https://webtactics.org/)
13:18:33	38275/38275	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202026%2010:18:33%20GMT	https://webtactics.org/case-studies	C:/Web%20Sitelerim/ai%20programs/webtactics.org/case-studies.html	(from https://webtactics.org/)
13:18:34	402217/402217	---M-Z	200	added ('OK')	text/html	etag:%2262329-6aac078a-a92a165bde2096e5;br%22	https://webtactics.org/gallery	C:/Web%20Sitelerim/ai%20programs/webtactics.org/gallery.html	(from https://webtactics.org/)
13:18:34	37477/37477	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202026%2010:18:34%20GMT	https://webtactics.org/blog	C:/Web%20Sitelerim/ai%20programs/webtactics.org/blog.html	(from https://webtactics.org/)
13:18:34	148201/148201	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202026%2010:18:34%20GMT	https://webtactics.org/pricing	C:/Web%20Sitelerim/ai%20programs/webtactics.org/pricing.html	(from https://webtactics.org/)
13:18:34	63057/63057	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202026%2010:18:34%20GMT	https://webtactics.org/contact	C:/Web%20Sitelerim/ai%20programs/webtactics.org/contact.html	(from https://webtactics.org/)
13:18:35	56806/56806	---M--	200	added ('OK')	image/webp	etag:%22dde6-6aac078a-ca511ced426a3efb;;;%22	https://webtactics.org/Assets/generated/service-marketing.webp	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/generated/service-marketing.webp	(from https://webtactics.org/)
13:18:35	35298/35298	---M--	200	added ('OK')	image/webp	etag:%2289e2-6aac078a-8891a067e2aee2b8;;;%22	https://webtactics.org/Assets/generated/service-web.webp	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/generated/service-web.webp	(from https://webtactics.org/)
13:18:35	2023389/2023389	---M--	200	added ('OK')	video/mp4	etag:%221edfdd-6aac078a-c7da6f12ddd66046;;;%22	https://webtactics.org/Assets/Web%20Tactics%20Promo.mp4	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Web%20Tactics%20Promo.mp4	(from https://webtactics.org/)
13:18:35	32288/32288	---M--	200	added ('OK')	image/webp	etag:%227e20-6aac078a-674c7b230cffe689;;;%22	https://webtactics.org/Assets/generated/service-branding.webp	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/generated/service-branding.webp	(from https://webtactics.org/)
13:18:35	35954/35954	---M--	200	added ('OK')	image/webp	etag:%228c72-6aac078a-b0c461a69bc4f87a;;;%22	https://webtactics.org/Assets/generated/service-uiux.webp	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/generated/service-uiux.webp	(from https://webtactics.org/)
13:18:36	128625/128625	---M--	200	added ('OK')	image/jpeg	etag:%221f671-6aac078a-4e4fc3fb31727ed7;;;%22	https://webtactics.org/Assets/Multi-Million%20Dirham%20Impact.jpg	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Multi-Million%20Dirham%20Impact.jpg	(from https://webtactics.org/)
13:18:36	52690/52690	---M--	200	added ('OK')	image/jpeg	etag:%22cdd2-6aac078a-70c546a2f09d8fb2;;;%22	https://webtactics.org/Assets/Scaling%20Fashion%20Brands.jpg	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Scaling%20Fashion%20Brands.jpg	(from https://webtactics.org/)
13:18:36	100584/100584	---M--	200	added ('OK')	image/jpeg	etag:%22188e8-6aac078a-48d8b279183912a5;;;%22	https://webtactics.org/Assets/High-Performance%20Campaigns.jpg	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/High-Performance%20Campaigns.jpg	(from https://webtactics.org/)
13:18:36	63477/63477	---M--	200	added ('OK')	image/jpeg	etag:%22f7f5-6aac078a-88b2281c56cdba6f;;;%22	https://webtactics.org/Assets/Elite%20Events%20&%20Experiences.jpg	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Elite%20Events%20&%20Experiences.jpg	(from https://webtactics.org/)
13:18:36	75945/75945	---M--	200	added ('OK')	image/jpeg	etag:%22128a9-6aac078a-95d5b170911c9453;;;%22	https://webtactics.org/Assets/Strategic%20Tech%20Partnerships.jpg	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Strategic%20Tech%20Partnerships.jpg	(from https://webtactics.org/)
13:18:37	92531/92531	---M--	200	added ('OK')	image/jpeg	etag:%2216973-6aac078a-f70e82991affe027;;;%22	https://webtactics.org/Assets/100+%20Websites%20Delivered.jpg	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/100+%20Websites%20Delivered.jpg	(from https://webtactics.org/)
13:18:37	91176/91176	---M--	200	added ('OK')	image/jpeg	etag:%2216428-6aac078a-27d293f314507046;;;%22	https://webtactics.org/Assets/Full%20Creative%20Ecosystem.jpg	C:/Web%20Sitelerim/ai%20programs/webtactics.org/Assets/Full%20Creative%20Ecosystem.jpg	(from https://webtactics.org/)
13:18:37	30078/30078	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202026%2010:18:37%20GMT	https://webtactics.org/privacy	C:/Web%20Sitelerim/ai%20programs/webtactics.org/privacy.html	(from https://webtactics.org/)
13:18:37	28804/28804	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202026%2010:18:38%20GMT	https://webtactics.org/terms	C:/Web%20Sitelerim/ai%20programs/webtactics.org/terms.html	(from https://webtactics.org/)
13:18:38	14117/14117	---M-Z	404	error ('Not%20Found')	text/html	etag:%223725-6aac078a-c6918110c6e3c2ac;br%22	https://webtactics.org/${bg}	C:/Web%20Sitelerim/ai%20programs/webtactics.org/${bg}	(from https://webtactics.org/)
