date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:17	0/0	---M--	301	error ('Moved%20Permanently')	unknown/unknown	date:Thu,%2003%20Sep%202026%2009:38:17%20GMT	http://borealis.cool/robots.txt		(from )
12:38:17	0/0	---M--	301	error ('Moved%20Permanently')	unknown/unknown	date:Thu,%2003%20Sep%202026%2009:38:17%20GMT	http://borealis.cool/	C:/Web%20Sitelerim/ai%20programs/borealis.cool/index.html	(from )
12:38:17	441/441	---MCZ	200	added ('OK')	text/plain	date:Thu,%2003%20Sep%202026%2009:38:18%20GMT	https://borealis.cool/robots.txt		(from )
12:38:18	38902/38902	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Sep%202026%2009:38:18%20GMT	https://borealis.cool/	C:/Web%20Sitelerim/ai%20programs/borealis.cool/index.html	(from )
12:38:18	667/667	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Sep%202026%2009:38:18%20GMT	https://borealis.cool/favicon.svg	C:/Web%20Sitelerim/ai%20programs/borealis.cool/favicon.svg	(from https://borealis.cool/)
12:38:18	976/976	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Sep%202026%2009:38:18%20GMT	https://borealis.cool/favicon-32.png	C:/Web%20Sitelerim/ai%20programs/borealis.cool/favicon-32.png	(from https://borealis.cool/)
12:38:18	4161/4161	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Sep%202026%2009:38:19%20GMT	https://borealis.cool/apple-touch-icon.png	C:/Web%20Sitelerim/ai%20programs/borealis.cool/apple-touch-icon.png	(from https://borealis.cool/)
12:38:19	61032/61032	---MCZ	200	added ('OK')	font/otf	date:Thu,%2003%20Sep%202026%2009:38:19%20GMT	https://borealis.cool/fonts/PPNeueMachina-Ultrabold.otf	C:/Web%20Sitelerim/ai%20programs/borealis.cool/fonts/PPNeueMachina-Ultrabold.otf	(from https://borealis.cool/)
12:38:19	60264/60264	---MCZ	200	added ('OK')	font/otf	date:Thu,%2003%20Sep%202026%2009:38:19%20GMT	https://borealis.cool/fonts/PPNeueMachina-Regular.otf	C:/Web%20Sitelerim/ai%20programs/borealis.cool/fonts/PPNeueMachina-Regular.otf	(from https://borealis.cool/)
12:38:19	57352/57352	---MCZ	200	added ('OK')	font/otf	date:Thu,%2003%20Sep%202026%2009:38:19%20GMT	https://borealis.cool/fonts/PPNeueMachina-Light.otf	C:/Web%20Sitelerim/ai%20programs/borealis.cool/fonts/PPNeueMachina-Light.otf	(from https://borealis.cool/)
12:38:19	303144/303144	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2003%20Sep%202026%2009:38:19%20GMT	https://borealis.cool/fonts/JetBrainsMono-Variable.ttf	C:/Web%20Sitelerim/ai%20programs/borealis.cool/fonts/JetBrainsMono-Variable.ttf	(from https://borealis.cool/)
12:38:21	37247/37247	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Sep%202026%2009:38:21%20GMT	https://borealis.cool/og-image.png?v=3	C:/Web%20Sitelerim/ai%20programs/borealis.cool/og-image30f4.png	(from https://borealis.cool/)
12:38:23	185171/185171	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:22%20GMT	https://borealis.cool/assets/index-CXsn75Rf.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/index-CXsn75Rf.js	(from https://borealis.cool/)
12:38:23	826/826	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:23%20GMT	https://borealis.cool/assets/chunk-BNv3lrIs.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/chunk-BNv3lrIs.js	(from https://borealis.cool/)
12:38:23	1193/1193	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:23%20GMT	https://borealis.cool/assets/preload-helper-ca-nBW7U.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/preload-helper-ca-nBW7U.js	(from https://borealis.cool/)
12:38:23	424/424	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:23%20GMT	https://borealis.cool/assets/jsx-runtime-kJazARoa.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/jsx-runtime-kJazARoa.js	(from https://borealis.cool/)
12:38:23	4148144/4148144	---M--	200	added ('OK')	model/gltf-binary	date:Thu,%2003%20Sep%202026%2009:38:20%20GMT	https://borealis.cool/server-rack.glb	C:/Web%20Sitelerim/ai%20programs/borealis.cool/server-rack.glb	(from https://borealis.cool/)
12:38:23	7521/7521	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:24%20GMT	https://borealis.cool/assets/react-BFwN_vxz.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/react-BFwN_vxz.js	(from https://borealis.cool/)
12:38:23	3553/3553	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:24%20GMT	https://borealis.cool/assets/scheduler-CYsWOjxp.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/scheduler-CYsWOjxp.js	(from https://borealis.cool/)
12:38:24	441/441	---MCZ	200	added ('OK')	text/plain	date:Thu,%2003%20Sep%202026%2009:38:24%20GMT	https://borealis.cool/robots.txt		(from https://borealis.cool/)
12:38:24	86692/86692	---MCZ	200	added ('OK')	text/css	date:Thu,%2003%20Sep%202026%2009:38:24%20GMT	https://borealis.cool/assets/index-B7iaG9PV.css	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/index-B7iaG9PV.css	(from https://borealis.cool/)
12:38:29	13736608/13736608	---M--	200	added ('OK')	model/gltf-binary	date:Thu,%2003%20Sep%202026%2009:38:20%20GMT	https://borealis.cool/trane-yc40.glb	C:/Web%20Sitelerim/ai%20programs/borealis.cool/trane-yc40.glb	(from https://borealis.cool/)
12:38:30	157482/157482	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:30%20GMT	https://borealis.cool/assets/constants-Dg99kINN.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/constants-Dg99kINN.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
12:38:30	50598/50598	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:30%20GMT	https://borealis.cool/assets/Environment-DLiK-dx-.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/Environment-DLiK-dx-.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
12:38:30	15437/15437	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:31%20GMT	https://borealis.cool/assets/OrbitControls-CBY4kLRJ.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/OrbitControls-CBY4kLRJ.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
12:38:30	727156/727156	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:30%20GMT	https://borealis.cool/assets/three.module-IFVRcQ3V.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/three.module-IFVRcQ3V.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
12:38:31	124203/124203	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:31%20GMT	https://borealis.cool/assets/CduLab-D9TL5sD1.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/CduLab-D9TL5sD1.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
12:38:31	61702/61702	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:31%20GMT	https://borealis.cool/assets/LedDotPanel-CXuXEHOQ.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/LedDotPanel-CXuXEHOQ.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
12:38:31	62320/62320	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:31%20GMT	https://borealis.cool/assets/ZilmetTank-RY-iHwmm.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/ZilmetTank-RY-iHwmm.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
12:38:31	593/593	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:32%20GMT	https://borealis.cool/assets/revealEffects-Dj1HItpU.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/revealEffects-Dj1HItpU.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
12:38:32	10867/10867	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202026%2009:38:32%20GMT	https://borealis.cool/assets/fflate.module-BxZJy72u.js	C:/Web%20Sitelerim/ai%20programs/borealis.cool/assets/fflate.module-BxZJy72u.js	(from https://borealis.cool/assets/index-CXsn75Rf.js)
